"nspnID","beta.b2a.bsl","lrnR_Appet.b2a.bsl","lrnR_Aver.b2a.bsl","PavBias.b2a.bsl","irNoiseXi.b2a.bsl","GoBias.b2a.bsl","iLik.b2a.bsl","beta.b2a.fu1","lrnR_Appet.b2a.fu1","lrnR_Aver.b2a.fu1","PavBias.b2a.fu1","irNoiseXi.b2a.fu1","GoBias.b2a.fu1","iLik.b2a.fu1","beta.b2a.fu2","lrnR_Appet.b2a.fu2","lrnR_Aver.b2a.fu2","PavBias.b2a.fu2","irNoiseXi.b2a.fu2","GoBias.b2a.fu2","iLik.b2a.fu2"
10009,3.281342,0.098517,0.051378,0.374512,0.06184,1.204885,-75.361726,NA,NA,NA,NA,NA,NA,NA,2.865218,0.278581,0.02412,1.974934,0.099927,0.617555,-85.117212
10017,4.275608,0.277046,0.523684,0.111231,0.196201,0.962703,-77.659704,NA,NA,NA,NA,NA,NA,NA,13.223668,0.175042,0.088779,0.141371,0.025528,0.684558,-36.923926
10025,2.561229,0.25305,0.067875,0.430203,0.085542,0.198701,-85.982374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10041,8.923574,0.091974,0.16183,0.070619,0.046964,0.687606,-54.171946,NA,NA,NA,NA,NA,NA,NA,11.936898,0.183024,0.129628,0.384306,0.048398,-0.842029,-41.269466
10059,7.612003,0.167667,0.828356,0.10504,0.035418,0.250776,-42.906343,NA,NA,NA,NA,NA,NA,NA,9.277491,0.374574,0.414736,0.077874,0.026785,0.460543,-30.880639
10067,4.820254,0.09028,0.083909,0.160334,0.085483,0.532742,-72.571273,NA,NA,NA,NA,NA,NA,NA,8.28967,0.141562,0.822549,0.215655,0.041273,1.979162,-36.914051
10075,23.888472,0.248202,0.186927,0.360205,0.06122,0.111613,-41.165991,NA,NA,NA,NA,NA,NA,NA,6.740798,0.15973,0.199125,0.050033,0.02987,0.425598,-53.005321
10083,6.618661,0.128397,0.271276,0.627805,0.027436,2.114121,-28.297978,NA,NA,NA,NA,NA,NA,NA,1.963943,0.055526,0.234275,0.055539,0.066631,-0.340932,-94.716989
10091,13.086364,0.050733,0.057811,0.320451,0.05469,1.605079,-61.819291,NA,NA,NA,NA,NA,NA,NA,3.475885,0.141449,0.267135,0.397344,0.035609,1.630338,-69.732925
10116,11.453312,0.101899,0.040776,0.826795,0.088188,0.43093,-78.621534,NA,NA,NA,NA,NA,NA,NA,9.180548,0.116382,0.223044,0.172912,0.025326,1.033897,-42.727608
10140,41.784245,0.349605,0.124987,2.304458,0.176653,0.221681,-64.515968,NA,NA,NA,NA,NA,NA,NA,6.35663,0.366478,0.592838,0.070702,0.351016,1.613304,-89.40402
10158,1.440685,0.089413,0.138299,0.467833,0.088308,0.605652,-96.475072,NA,NA,NA,NA,NA,NA,NA,2.218461,0.062034,0.394693,0.422376,0.055138,-0.419764,-92.311806
